_id,link,name,salary
611a8db8aeda14cec1a865da,https://russia.superjob.ru/vakansii/backend-38607611.html,Backend / Fullstek разработчик уровня Senior,"[""до"","" "",""250 000 руб."",""/"",""месяц""]"
611a8db8aeda14cec1a865db,https://russia.superjob.ru/vakansii/senior-38475078.html,"Senior / Middle-backend-разработчик (Python, Django)","[""180 000"","" "",""—"","" "",""220 000"","" "",""руб."",""/"",""месяц""]"
611a8dbaaeda14cec1a865dc,https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-30513119.html,Педагог дополнительного образования (Программирование на Python),"[""По договорённости""]"
611a8dbbaeda14cec1a865dd,https://russia.superjob.ru/vakansii/programmist-python-38498437.html,Программист Python,"[""до"","" "",""90 000 руб."",""/"",""месяц""]"
611a8dbeaeda14cec1a865de,https://russia.superjob.ru/vakansii/programmist-razrabotchik-31861344.html,Программист-разработчик,"[""По договорённости""]"
611a8dbeaeda14cec1a865df,https://russia.superjob.ru/vakansii/avtotestirovschik-38146588.html,Автотестировщик,"[""По договорённости""]"
611a8dc0aeda14cec1a865e0,https://russia.superjob.ru/vakansii/analitik-37623704.html,Аналитик,"[""По договорённости""]"
611a8dc1aeda14cec1a865e1,https://russia.superjob.ru/vakansii/arhitektor-informacionnyh-sistem-38439322.html,Архитектор информационных систем,"[""По договорённости""]"
611a8dc2aeda14cec1a865e2,https://russia.superjob.ru/vakansii/inzhener-linux-38277681.html,Инженер Linux,"[""от"","" "",""120 000 руб."",""/"",""месяц""]"
611a8dc4aeda14cec1a865e3,https://russia.superjob.ru/vakansii/sistemnyj-administrator-37479019.html,"Системный администратор, IT-специалист","[""от"","" "",""90 000 руб."",""/"",""месяц""]"
611a8dc5aeda14cec1a865e4,https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-v-sfere-it-38107002.html,Педагог дополнительного образования в сфере IT,"[""20 000"","" "",""—"","" "",""25 000"","" "",""руб."",""/"",""месяц""]"
611a8dc7aeda14cec1a865e5,https://russia.superjob.ru/vakansii/prepodavatel-dlya-detej-38332107.html,Преподаватель для детей,"[""до"","" "",""30 000 руб."",""/"",""месяц""]"
611a8dc8aeda14cec1a865e6,https://russia.superjob.ru/vakansii/uchitel-informatiki-37521419.html,Учитель информатики / робототехники (основная школа и профильное образование),"[""По договорённости""]"
611a8dcaaeda14cec1a865e7,https://russia.superjob.ru/vakansii/head-of-devops-34424249.html,Head of DevOps,"[""По договорённости""]"
611a8dcbaeda14cec1a865e8,https://russia.superjob.ru/vakansii/veduschij-inzhener-po-vnedreniyu-po-38280425.html,Ведущий инженер по внедрению ПО,"[""от"","" "",""80 000 руб."",""/"",""месяц""]"
611a8dcdaeda14cec1a865e9,https://russia.superjob.ru/vakansii/qa-automation-engineer-37974884.html,QA Automation Engineer,"[""По договорённости""]"
611a8dceaeda14cec1a865ea,https://russia.superjob.ru/vakansii/prepodavatel-fiziki-na-kursah-dop-32396964.html,Преподаватель физики на курсах доп. образования,"[""до"","" "",""50 000 руб."",""/"",""месяц""]"
611a8dceaeda14cec1a865eb,https://russia.superjob.ru/vakansii/data-scientist-38601975.html,Data Scientist,"[""от"","" "",""100 000 руб."",""/"",""месяц""]"
611a8dd0aeda14cec1a865ec,https://russia.superjob.ru/vakansii/web-analitik-36842585.html,Web-аналитик,"[""от"","" "",""150 000 руб."",""/"",""месяц""]"
611a8dd1aeda14cec1a865ed,https://russia.superjob.ru/vakansii/devops-inzhener-38154131.html,DevOps инженер,"[""По договорённости""]"
611a8dd2aeda14cec1a865ee,https://russia.superjob.ru/vakansii/razrabotchik-sql-38284142.html,Разработчик SQL,"[""12 000"","" "",""руб."",""/"",""месяц""]"
611a8dd4aeda14cec1a865ef,https://russia.superjob.ru/vakansii/middle-specialist-po-avtomaticheskomu-testirovaniyu-veb-prilozhenij-38154555.html,Middle специалист по автоматическому тестированию веб-приложений / QA инженер / Тестировщик,"[""от"","" "",""150 000 руб."",""/"",""месяц""]"
611a8dd5aeda14cec1a865f0,https://russia.superjob.ru/vakansii/web-analitik-37211756.html,Web-аналитик,"[""По договорённости""]"
611a8dd6aeda14cec1a865f1,https://russia.superjob.ru/vakansii/devops-inzhener-38440558.html,DevOps инженер,"[""По договорённости""]"
611a8dd8aeda14cec1a865f2,https://russia.superjob.ru/vakansii/analitik-podderzhki-prilozhenij-38572171.html,Аналитик поддержки приложений,"[""По договорённости""]"
611a8ddaaeda14cec1a865f3,https://russia.superjob.ru/vakansii/programmist-full-stack-38368108.html,Программист full stack,"[""90 000"","" "",""—"","" "",""110 000"","" "",""руб."",""/"",""месяц""]"
611a8ddbaeda14cec1a865f4,https://russia.superjob.ru/vakansii/upravlyayuschij-administrator-v-detskij-centr-38369612.html,Управляющий-администратор в детский центр,"[""По договорённости""]"
611a8ddcaeda14cec1a865f5,https://russia.superjob.ru/vakansii/specialist-po-informacionnym-sistemam-36146717.html,Специалист по информационным системам,"[""от"","" "",""70 000 руб."",""/"",""месяц""]"
611a8dddaeda14cec1a865f6,https://russia.superjob.ru/vakansii/inzhener-asu-tp-36434693.html,Инженер АСУ ТП,"[""от"","" "",""34 000 руб."",""/"",""месяц""]"
611a8ddfaeda14cec1a865f7,https://russia.superjob.ru/vakansii/programmist-37426730.html,Программист,"[""По договорённости""]"
611a8de0aeda14cec1a865f8,https://russia.superjob.ru/vakansii/programmist-1s-36677870.html,Программист 1С,"[""По договорённости""]"
611a8de2aeda14cec1a865f9,https://russia.superjob.ru/vakansii/sistemnyj-administrator-37493087.html,Системный администратор,"[""от"","" "",""58 000 руб."",""/"",""месяц""]"
611a8de3aeda14cec1a865fa,https://russia.superjob.ru/vakansii/inzhener-programmist-30967868.html,Инженер-программист,"[""33 000"","" "",""—"","" "",""36 000"","" "",""руб."",""/"",""месяц""]"
611a8de4aeda14cec1a865fb,https://russia.superjob.ru/vakansii/inzhener-programmist-36484001.html,Инженер-программист,"[""от"","" "",""35 000 руб."",""/"",""месяц""]"
611a8de6aeda14cec1a865fc,https://russia.superjob.ru/vakansii/bi-razrabotchik-37621267.html,BI-разработчик / Аналитик,"[""По договорённости""]"
611a8de7aeda14cec1a865fd,https://russia.superjob.ru/vakansii/prepodavatel-informacionnyh-tehnologij-33364026.html,Преподаватель информационных технологий,"[""от"","" "",""25 000 руб."",""/"",""месяц""]"
611a8de7aeda14cec1a865fe,https://russia.superjob.ru/vakansii/it-specialist-38553757.html,IT-специалист,"[""до"","" "",""80 000 руб."",""/"",""месяц""]"
611a8de9aeda14cec1a865ff,https://russia.superjob.ru/vakansii/fullstack-razrabotchik-38383296.html,FullStack разработчик,"[""По договорённости""]"
611a8deaaeda14cec1a86600,https://russia.superjob.ru/vakansii/inzhener-asu-tp-38465466.html,Инженер АСУ ТП / Инженер-программист АСУ ТП,"[""от"","" "",""80 000 руб."",""/"",""месяц""]"
611a8debaeda14cec1a86601,https://russia.superjob.ru/vakansii/rukovoditel-bekend-razrabotki-35568681.html,Руководитель бэкенд-разработки (php),"[""По договорённости""]"
611a8decaeda14cec1a86602,https://russia.superjob.ru/vakansii/devops-engineer-38277756.html,DevOps Engineer,"[""250 000"","" "",""—"","" "",""300 000"","" "",""руб."",""/"",""месяц""]"
611a8dedaeda14cec1a86603,https://russia.superjob.ru/vakansii/devops-engineer-38074660.html,DevOps Engineer,"[""По договорённости""]"
611a8defaeda14cec1a86604,https://russia.superjob.ru/vakansii/data-quality-engineer-38602244.html,Data Quality Engineer,"[""от"","" "",""100 000 руб."",""/"",""месяц""]"
611a8df1aeda14cec1a86605,https://russia.superjob.ru/vakansii/glavnyj-it-inzhener-38516775.html,Главный ИТ-инженер,"[""По договорённости""]"
611a8df3aeda14cec1a86606,https://russia.superjob.ru/vakansii/backend-developer-38547760.html,Backend developer,"[""По договорённости""]"
611a8df4aeda14cec1a86607,https://russia.superjob.ru/vakansii/devops-inzhener-38226857.html,DevOps-инженер,"[""По договорённости""]"
611a8df5aeda14cec1a86608,https://russia.superjob.ru/vakansii/analitik-38436858.html,Аналитик,"[""95 000"","" "",""—"","" "",""115 000"","" "",""руб."",""/"",""месяц""]"
611a8df6aeda14cec1a86609,https://russia.superjob.ru/vakansii/senior-software-developer-38347038.html,Senior Software developer,"[""По договорённости""]"
611a8df8aeda14cec1a8660a,https://russia.superjob.ru/vakansii/inzhener-programmist-asu-tp-38440772.html,Инженер-программист АСУ ТП (верхний уровень),"[""от"","" "",""80 000 руб."",""/"",""месяц""]"
611a8df8aeda14cec1a8660b,https://russia.superjob.ru/vakansii/programmist-38443930.html,Программист,"[""от"","" "",""35 000 руб."",""/"",""месяц""]"
611a8dfaaeda14cec1a8660c,https://russia.superjob.ru/vakansii/data-engineer-38238474.html,Data engineer,"[""По договорённости""]"
611a8dfbaeda14cec1a8660d,https://russia.superjob.ru/vakansii/razrabotchik-three-38348117.html,Разработчик Three.js,"[""По договорённости""]"
611a8dfcaeda14cec1a8660e,https://russia.superjob.ru/vakansii/uchitel-informatiki-38560748.html,Учитель информатики (Предуниверситарий 1523 НИЯУ МИФИ),"[""По договорённости""]"
611a8dfeaeda14cec1a8660f,https://russia.superjob.ru/vakansii/prepodavatel-programmirovaniya-38561557.html,"Преподаватель программирования, веб-разработки","[""от"","" "",""27 000 руб."",""/"",""месяц""]"
611a8dfeaeda14cec1a86610,https://russia.superjob.ru/vakansii/qa-automation-engineer-38241626.html,QA Automation Engineer,"[""до"","" "",""200 000 руб."",""/"",""месяц""]"
611a8e00aeda14cec1a86611,https://russia.superjob.ru/vakansii/team-lead-38565587.html,Team Lead / Руководитель команды разработчиков,"[""130 000"","" "",""—"","" "",""140 000"","" "",""руб."",""/"",""месяц""]"
611a8e01aeda14cec1a86612,https://russia.superjob.ru/vakansii/inzhener-36104139.html,Инженер (программирование),"[""от"","" "",""40 000 руб."",""/"",""месяц""]"
611a8e02aeda14cec1a86613,https://russia.superjob.ru/vakansii/devops-engineer-38450209.html,DevOps Engineer,"[""По договорённости""]"
611a8e04aeda14cec1a86614,https://russia.superjob.ru/vakansii/web-razrabotchik-35121873.html,Web-разработчик,"[""от"","" "",""130 000 руб."",""/"",""месяц""]"
611a8e05aeda14cec1a86615,https://russia.superjob.ru/vakansii/specialist-po-testirovaniyu-38367770.html,Специалист по тестированию,"[""100 000"","" "",""—"","" "",""120 000"","" "",""руб."",""/"",""месяц""]"
611a8e07aeda14cec1a86616,https://russia.superjob.ru/vakansii/prepodavatel-programmirovaniya-i-robototehniki-38369611.html,Преподаватель программирования и робототехники,"[""По договорённости""]"
611a8e07aeda14cec1a86617,https://russia.superjob.ru/vakansii/programmist-1s-36677873.html,Программист 1С,"[""По договорённости""]"
611a8e08aeda14cec1a86618,https://russia.superjob.ru/vakansii/produktovyj-analitik-33473129.html,Продуктовый аналитик,"[""По договорённости""]"
611a8e09aeda14cec1a86619,https://russia.superjob.ru/vakansii/starshij-inzhener-otdela-kiberbezopasnosti-38249189.html,Старший инженер отдела кибербезопасности,"[""По договорённости""]"
611a8e0caeda14cec1a8661a,https://russia.superjob.ru/vakansii/back-end-razrabotchik-38330209.html,Back-end разработчик,"[""По договорённости""]"
611a8e0daeda14cec1a8661b,https://russia.superjob.ru/vakansii/glavnyj-specialist-otdela-sistem-monitoringa-i-nablyudeniya-35858870.html,Главный специалист отдела систем мониторинга и наблюдения,"[""до"","" "",""48 000 руб."",""/"",""месяц""]"
611a8e0faeda14cec1a8661c,https://russia.superjob.ru/vakansii/devops-inzhener-37997945.html,DevOps-инженер,"[""до"","" "",""270 000 руб."",""/"",""месяц""]"
611a8e10aeda14cec1a8661d,https://russia.superjob.ru/vakansii/full-stack-razrabotchik-38528186.html,Full-stack разработчик,"[""от"","" "",""180 000 руб."",""/"",""месяц""]"
611a8e11aeda14cec1a8661e,https://russia.superjob.ru/vakansii/sistemnyj-administrator-38336869.html,Системный администратор,"[""По договорённости""]"
611a8e12aeda14cec1a8661f,https://russia.superjob.ru/vakansii/qa-automation-engineer-38217143.html,QA Automation Engineer,"[""от"","" "",""130 000 руб."",""/"",""месяц""]"
611a8e13aeda14cec1a86620,https://russia.superjob.ru/vakansii/prepodavatel-po-programmirovaniyu-38337355.html,Преподаватель по программированию,"[""1 800"","" "",""—"","" "",""2 000"","" "",""руб."",""/"",""час""]"
611a8e14aeda14cec1a86621,https://russia.superjob.ru/vakansii/analitik-razrabotchik-38426945.html,Аналитик-разработчик,"[""По договорённости""]"
611a8e16aeda14cec1a86622,https://russia.superjob.ru/vakansii/analitik-38435044.html,Аналитик,"[""до"","" "",""80 000 руб."",""/"",""месяц""]"
611a8e17aeda14cec1a86623,https://russia.superjob.ru/vakansii/tehnicheskij-pisatel-38535500.html,Технический писатель (разработка программного обеспечения),"[""от"","" "",""30 000 руб."",""/"",""месяц""]"
611a8e18aeda14cec1a86624,https://russia.superjob.ru/vakansii/programmist-prilozhenij-38537165.html,Программист приложений (Linux / Android / iOS) и микроконтроллеров,"[""от"","" "",""50 000 руб."",""/"",""месяц""]"
611a8e19aeda14cec1a86625,https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-31825314.html,Педагог дополнительного образования (IT),"[""По договорённости""]"
611a8e1aaeda14cec1a86626,https://russia.superjob.ru/vakansii/razrabotchik-bi-38541166.html,Разработчик BI,"[""По договорённости""]"
611a8e1caeda14cec1a86627,https://russia.superjob.ru/vakansii/glavnyj-specialist-otdela-monitoringa-informacionnyh-i-kommunikacionnyh-resursov-37089097.html,"Главный специалист отдела мониторинга информационных и коммуникационных ресурсов, аналитик","[""до"","" "",""50 000 руб."",""/"",""месяц""]"
611a8e1daeda14cec1a86628,https://russia.superjob.ru/vakansii/front-end-developer-38345628.html,Front-End Developer (React),"[""от"","" "",""150 000 руб."",""/"",""месяц""]"
611a8e1eaeda14cec1a86629,https://russia.superjob.ru/vakansii/nachalnik-otdela-razvitiya-i-soprovozhdeniya-arhitektury-torgovyh-informacionnyh-sistem-38540308.html,Начальник отдела развития и сопровождения архитектуры торговых информационных систем,"[""от"","" "",""200 000 руб."",""/"",""месяц""]"
611a8e1faeda14cec1a8662a,https://russia.superjob.ru/vakansii/tehnik-37710157.html,Техник,"[""от"","" "",""35 000 руб."",""/"",""месяц""]"
611a8e20aeda14cec1a8662b,https://russia.superjob.ru/vakansii/full-stack-developer-38450206.html,Full-Stack developer,"[""По договорённости""]"
611a8e21aeda14cec1a8662c,https://russia.superjob.ru/vakansii/upravlyayuschij-administrator-v-detskij-centr-38369607.html,Управляющий-администратор в детский центр,"[""По договорённости""]"
611a8e22aeda14cec1a8662d,https://russia.superjob.ru/vakansii/analitik-38516030.html,Аналитик,"[""По договорённости""]"
611a8e26aeda14cec1a8662e,https://russia.superjob.ru/vakansii/veduschij-setevoj-inzhener-38501236.html,Ведущий сетевой инженер,"[""120 000"","" "",""—"","" "",""150 000"","" "",""руб."",""/"",""месяц""]"
