_id,max_salary,min_salary,name,site,url
611a7f53d70bebb667a04538,wrong,wrong,Разработчик Python,https://hh.ru,https://izhevsk.hh.ru/vacancy/46861964?from=vacancy_search_list&query=python
611a7f55d70bebb667a04539,wrong,wrong,Python (Django) developer,https://hh.ru,https://izhevsk.hh.ru/vacancy/46916041?from=vacancy_search_list&query=python
611a7f57d70bebb667a0453a,wrong,wrong,Python developer (middle),https://hh.ru,https://izhevsk.hh.ru/vacancy/46603938?from=vacancy_search_list&query=python
611a7f59d70bebb667a0453b,wrong,wrong,Senior разработчик (Python + Django),https://hh.ru,https://izhevsk.hh.ru/vacancy/46705713?from=vacancy_search_list&query=python
611a7f5bd70bebb667a0453c,wrong,wrong,Middle Python Developer,https://hh.ru,https://izhevsk.hh.ru/vacancy/47109241?from=vacancy_search_list&query=python
611a7f5cd70bebb667a0453d,wrong,wrong,Python Developer (Middle/Senior),https://hh.ru,https://izhevsk.hh.ru/vacancy/46798917?from=vacancy_search_list&query=python
611a7f5ed70bebb667a0453e,wrong,wrong,"Программист 1С, переход на Python (Middle)",https://hh.ru,https://izhevsk.hh.ru/vacancy/47094610?from=vacancy_search_list&query=python
611a7f5fd70bebb667a0453f,wrong,wrong,Python разработчик,https://hh.ru,https://izhevsk.hh.ru/vacancy/47052474?from=vacancy_search_list&query=python
611a7f60d70bebb667a04540,wrong,wrong,Junior Data Analyst,https://hh.ru,https://izhevsk.hh.ru/vacancy/46913223?from=vacancy_search_list&query=python
611a7f62d70bebb667a04541,wrong,wrong,Python Developer (Middle/Senior),https://hh.ru,https://izhevsk.hh.ru/vacancy/46098189?from=vacancy_search_list&query=python
611a7f64d70bebb667a04542,wrong,wrong,Python-разработчик,https://hh.ru,https://izhevsk.hh.ru/vacancy/46412759?from=vacancy_search_list&query=python
611a7f66d70bebb667a04543,wrong,wrong,Backend developer (Python/Django),https://hh.ru,https://izhevsk.hh.ru/vacancy/46674084?from=vacancy_search_list&query=python
611a7f6ad70bebb667a04544,wrong,wrong,Python-разработчик,https://hh.ru,https://izhevsk.hh.ru/vacancy/46412762?from=vacancy_search_list&query=python
611a7f6cd70bebb667a04545,wrong,wrong,Backend - разработчик на Python + Django (Python developer),https://hh.ru,https://izhevsk.hh.ru/vacancy/46777335?from=vacancy_search_list&query=python
611a7f6ed70bebb667a04546,wrong,wrong,Python-разработчик,https://hh.ru,https://izhevsk.hh.ru/vacancy/46795570?from=vacancy_search_list&query=python
611a7f70d70bebb667a04547,wrong,wrong,"Python Django разработчик, удаленно",https://hh.ru,https://izhevsk.hh.ru/vacancy/46666511?from=vacancy_search_list&query=python
