vacancy_name,employer_name,city,station_name,salary_min,salary_max,salary_currency,vacancy_link,site_address
Python developer,Сайтсофт,Екатеринбург,Геологическая,70000,90000,руб.,https://pushkino.hh.ru/vacancy/45961829,https://hh.ru
Python developer,ООО Технократия,Казань,Кремлевская,,,,https://pushkino.hh.ru/vacancy/46664532,https://hh.ru
Python Developer,A-hiring,Москва,,80000,250000,руб.,https://pushkino.hh.ru/vacancy/46665044,https://hh.ru
Backend-разработчик (Python),АО Эшелон Технологии,Москва,,70000,140000,руб.,https://pushkino.hh.ru/vacancy/46666248,https://hh.ru
Python Developer (remote),Brandquad,Москва,,150000,220000,руб.,https://pushkino.hh.ru/vacancy/46297148,https://hh.ru
Middle python-разработчик (aiohttp),KTS,Москва,Бауманская,150000,220000,руб.,https://pushkino.hh.ru/vacancy/46531100,https://hh.ru
"Python Django разработчик, удаленно",эдмин,Екатеринбург,,150000,200000,руб.,https://pushkino.hh.ru/vacancy/46666513,https://hh.ru
Python-developer,ООО Алма,Казань,Кремлевская,100000,220000,руб.,https://pushkino.hh.ru/vacancy/46204923,https://hh.ru
Python разработчик,idaproject,Москва,Калужская,70000,,,https://pushkino.hh.ru/vacancy/46154512,https://hh.ru
Python Developer (Middle/Senior),Sibedge,Нижний Новгород,,200000,,,https://pushkino.hh.ru/vacancy/45312291,https://hh.ru
Python developer,Кадровое агентство Алексея Сухорукова,Новосибирск,,120000,250000,руб.,https://pushkino.hh.ru/vacancy/44767329,https://hh.ru
Python-разработчик,Surf,Воронеж,,,,,https://pushkino.hh.ru/vacancy/46674077,https://hh.ru
Младший разработчик Python,Exactpro,Обнинск,,47000,68000,руб.,https://pushkino.hh.ru/vacancy/46657886,https://hh.ru
Python developer,ООО АйТи Мегастар,Красноярск,,80000,130000,руб.,https://pushkino.hh.ru/vacancy/45728418,https://hh.ru
Python developer,ООО АйТи Мегастар,Иркутск,,80000,130000,руб.,https://pushkino.hh.ru/vacancy/45728420,https://hh.ru
Разработчик Python (Middle),Carbon Soft,Екатеринбург,Динамо,75000,,,https://pushkino.hh.ru/vacancy/46144215,https://hh.ru
Python Developer,Perfect Panel,Севастополь,,,,,https://pushkino.hh.ru/vacancy/44655490,https://hh.ru
Back-End Python Developer,ТОО Globerce Inc.,Алматы,,,,,https://pushkino.hh.ru/vacancy/44750216,https://hh.ru
Python разработчик,Точка,Екатеринбург,,,280000,руб.,https://pushkino.hh.ru/vacancy/43519538,https://hh.ru
Python Разработчик,ООО СКАЙТРЭК,Москва,Славянский бульвар,,,,https://pushkino.hh.ru/vacancy/46403957,https://hh.ru
Разработчик Python,ДомКлик,Москва,Кутузовская,,,,https://pushkino.hh.ru/vacancy/43068966,https://hh.ru
Python Lead Developer,E-comet,Минск,,2000,3000,USD,https://pushkino.hh.ru/vacancy/46597403,https://hh.ru
Python Data Engineer (Wind),Semrush,Санкт-Петербург,Московские ворота,,,,https://pushkino.hh.ru/vacancy/46356994,https://hh.ru
Разработчик Python,Электронная торговая площадка Газпромбанка,Москва,,,,,https://pushkino.hh.ru/vacancy/43766519,https://hh.ru
Python developer,B2Broker Санкт-Петербург,Санкт-Петербург,Горьковская,180000,,,https://pushkino.hh.ru/vacancy/45610753,https://hh.ru
Middle Python Developer,FIRECODE,Ростов-на-Дону,,100000,140000,руб.,https://pushkino.hh.ru/vacancy/44818284,https://hh.ru
